Beginner session week 4 day 2
resistanceTargeted:arms,back,chest,shoulders

resistanceTargeted:chest/bench-press,R=10,W=25,D=30,I=0.4
resistanceTargeted:chest/bench-press,R=10,W=25,D=32,I=0.4
resistanceTargeted:chest/bench-press,R=12,W=25,D=37,I=0.6
resistanceTargeted:chest/bench-press,R=15,W=25,D=45,I=0.8

resistanceTargeted:chest/dumbbell-flyes,R=10,W=20,D=32,I=0.4
resistanceTargeted:chest/dumbbell-flyes,R=10,W=20,D=30,I=0.6
resistanceTargeted:chest/dumbbell-flyes,R=12,W=20,D=35,I=0.6
resistanceTargeted:chest/dumbbell-flyes,R=15,W=20,D=43,I=0.8

resistanceTargeted:shoulders/dumbbell-bench-press,R=10,W=20,D=27,I=0.4
resistanceTargeted:shoulders/dumbbell-bench-press,R=10,W=20,D=29,I=0.6
resistanceTargeted:shoulders/dumbbell-bench-press,R=12,W=20,D=35,I=0.8
resistanceTargeted:shoulders/dumbbell-bench-press,R=15,W=20,D=43,I=1

resistanceTargeted:back/upright-row,R=8,W=30,D=33,I=0.6
resistanceTargeted:back/upright-row,R=8,W=30,D=32,I=0.6
resistanceTargeted:back/upright-row,R=10,W=30,D=36,I=0.8
resistanceTargeted:back/upright-row,R=12,W=30,D=43,I=0.8

resistanceTargeted:arms/triceps-extension,R=10,W=30,D=33,I=0.6
resistanceTargeted:arms/triceps-extension,R=12,W=35,D=33,I=0.8
resistanceTargeted:arms/triceps-extension,R=15,W=45,D=33,I=1

