TRX workout: fullbody (day 1)
resistanceTargeted:core,chest,arms,back,legs

resistanceTargeted:arms/trx-biceps-curl,R=12,D=30,I=0.4
resistanceTargeted:arms/trx-biceps-curl,R=12,D=30,I=0.4

resistanceTargeted:legs/trx-reverse-lunge,R=15,D=40,I=0.4
resistanceTargeted:legs/trx-reverse-lunge,R=15,D=40,I=0.4

resistanceTargeted:legs/trx-hamstring-curl,R=20,D=52,I=0.4
resistanceTargeted:legs/trx-hamstring-curl,R=20,D=54,I=0.4

resistanceTargeted:shoulders/trx-y-deltoid-raises,R=10,D=32,I=0.4
resistanceTargeted:shoulders/trx-y-deltoid-raises,R=10,D=32,I=0.4

resistanceTargeted:chest/trx-chest-press,R=15,D=37,I=0.4
resistanceTargeted:chest/trx-chest-press,R=15,D=37,I=0.4

resistanceTargeted:back/trx-45deg-row,R=20,D=43,I=0.4
resistanceTargeted:back/trx-45deg-row,R=20,D=43,I=0.4

resistanceTargeted:core/trx-atomic-press,R=12,D=45,I=0.4
resistanceTargeted:core/trx-atomic-press,R=12,D=45,I=0.4

resistanceTargeted:core/trx-side-plank,R=20,D=56,I=0.6
resistanceTargeted:core/trx-side-plank,R=20,D=56,I=0.6

resistanceTargeted:arms/trx-triceps-press,R=10,D=26,I=0.6
resistanceTargeted:arms/trx-triceps-press,R=10,D=28,I=0.6
